species,year,proj,n,kg,cpue_kg_nmi,cpue_kg_s.e,den_kg_sqnmi,ct,cpue_ct,cpue_ct_s.e,den_ct_sqnmi
690,2011,T06,43,0,0,0,0,0,0,0,0
690,2013,T06,43,0,0,0,0,0,0,0,0
690,2014,T06,41,0,0,0,0,0,0,0,0
690,2015,T06,43,0,0,0,0,0,0,0,0
690,2017,T06,43,0,0,0,0,0,0,0,0
690,2018,T06,43,0,0,0,0,0,0,0,0
690,2019,T06,43,0,0,0,0,0,0,0,0
691,1997,T06,39,44.90328058,1.151366169,0.272230515,174.892521,18.47749303,0.473781873,0.107191456,71.96746644
691,1999,T06,40,3.665392889,0.091634822,0.094027728,13.9193295,1.01010101,0.025252525,0.025911957,3.835858586
691,2001,T06,40,182.1994119,4.554985297,0.882086361,691.9022666,76.70266497,1.917566624,0.374548282,291.2783702
691,2003,T06,40,121.4363125,3.035907812,0.66667605,461.1543967,51.9240382,1.298100955,0.271933614,197.1815351
691,2005,T06,40,249.4979053,6.237447633,1.195382896,947.4682954,141.6784362,3.541960904,0.842290336,538.0238614
691,2007,T06,32,73.63494015,2.30109188,0.620139842,349.5358565,27.17421666,0.849194271,0.263320043,128.9926097
691,2009,T06,43,6.779183673,0.157655434,0.094438151,23.94786047,3.020408163,0.07024205,0.039856238,10.66976744
691,2011,T06,43,73.32552279,1.705244716,0.783919387,259.0266724,40.55122301,0.943051698,0.41215919,143.2495529
691,2013,T06,43,2.052384676,0.047729876,0.045563568,7.250168191,0.977326036,0.022728512,0.021696937,3.452461043
691,2014,T06,41,217.2787588,5.299481921,1.351361042,804.9913038,104.769288,2.555348489,0.638426113,388.1574354
691,2015,T06,43,898.9848287,20.90662392,9.122935487,3175.716174,485.1475823,11.28250191,4.945724076,1713.812041
691,2017,T06,43,2.314163392,0.053817753,0.055966749,8.174916728,1.928469494,0.044848128,0.046638958,6.812430607
691,2018,T06,43,0,0,0,0,0,0,0,0
691,2019,T06,43,83.29041634,1.936986426,0.687953676,294.2282382,37.82366564,0.879620131,0.319708278,133.6142979
692,1997,T06,39,0,0,0,0,0,0,0,0
692,1999,T06,40,0,0,0,0,0,0,0,0
692,2001,T06,40,0,0,0,0,0,0,0,0
692,2003,T06,40,0,0,0,0,0,0,0,0
692,2005,T06,40,234.9494949,5.873737374,5.803702239,892.2207071,1.01010101,0.025252525,0.024951428,3.835858586
692,2007,T06,32,213.8500546,6.682814207,4.439580546,1015.119478,2,0.0625,0.041515668,9.49375
692,2009,T06,43,0,0,0,0,0,0,0,0
692,2011,T06,43,0,0,0,0,0,0,0,0
692,2013,T06,43,0,0,0,0,0,0,0,0
692,2014,T06,41,0,0,0,0,0,0,0,0
692,2015,T06,43,0,0,0,0,0,0,0,0
692,2017,T06,43,0,0,0,0,0,0,0,0
692,2018,T06,43,0,0,0,0,0,0,0,0
692,2019,T06,43,0,0,0,0,0,0,0,0
