Survey,Year,Regulatory Area Name,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area Biomass,Area Biomass Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population,AKFIN Load Date
AI,2004,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,366,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2004,S BERING SEA,310,spiny dogfish,Squalus suckleyi,53,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2006,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,313,6,1.08642832434804,0.27851916702632,0.611259131146033,0.074208380674919,61.8,902.796458412517,0,127,34907,240540225.554795,1407,68407,2019-09-24 11:25:49
AI,2006,S BERING SEA,310,spiny dogfish,Squalus suckleyi,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2010,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,367,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2010,S BERING SEA,310,spiny dogfish,Squalus suckleyi,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2012,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,365,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2012,S BERING SEA,310,spiny dogfish,Squalus suckleyi,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2014,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,366,2,0.400997642264122,0.080593138983754,0.122458329142767,0.007276625886705,22.6,261.235882699611,0,55,6864,23586570.8986879,0,16679,2019-09-24 11:25:49
AI,2014,S BERING SEA,310,spiny dogfish,Squalus suckleyi,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2016,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,376,1,0.116392712233026,0.013421497738147,0.058196356116513,0.003289260302457,6.6,43.5046562646273,0,21,3265,10661860.666755,0,10318,2019-09-24 11:25:49
AI,2016,S BERING SEA,310,spiny dogfish,Squalus suckleyi,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2018,ALEUTIANS,310,spiny dogfish,Squalus suckleyi,375,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
AI,2018,S BERING SEA,310,spiny dogfish,Squalus suckleyi,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-24 11:25:49
