Year,Project,Station_No,Trip_No,Set_No,Lat,Long,Avg_Depth_fms,hooks_tot,hooks_bait,hooks_bare,hooks_inval,sable_no,dogf_no,PSS_no
1998,Chatham Sablefish LL Survey,46,3,4,57.8005,-134.810333,263,1113,526,162,36,323,0,0
1998,Chatham Sablefish LL Survey,47,3,1,57.847333,-134.768,267,1106,473,213,65,297,0,0
1998,Chatham Sablefish LL Survey,49,3,2,57.877333,-134.7825,278,1102,278,337,52,386,0,0
1998,Chatham Sablefish LL Survey,5,1,12,56.705,-134.551667,377,1267,396,350,72,404,0,0
1998,Chatham Sablefish LL Survey,51,3,3,57.940833,-134.802167,271,974,302,293,37,281,0,0
1998,Chatham Sablefish LL Survey,52,1,8,56.258333,-134.455,395,1088,374,173,14,398,0,3
1998,Chatham Sablefish LL Survey,53,1,10,56.42,-134.495,388,1036,443,151,29,303,0,2
1998,Chatham Sablefish LL Survey,54,1,7,56.3,-134.583333,352,1154,284,179,39,492,0,0
1998,Chatham Sablefish LL Survey,55,1,4,56.088333,-134.508333,287,1018,89,289,29,522,0,0
1998,Chatham Sablefish LL Survey,56,1,9,56.406667,-134.6,307,1083,745,106,15,142,1,0
1998,Chatham Sablefish LL Survey,57,1,6,56.25,-134.411667,377,1066,578,132,11,267,0,0
1998,Chatham Sablefish LL Survey,58,1,5,56.135,-134.579833,297,1067,413,191,12,281,0,0
1998,Chatham Sablefish LL Survey,6,2,1,56.687333,-134.422833,243,1138,224,500,4,265,1,0
1998,Chatham Sablefish LL Survey,7,1,14,56.72,-134.441667,367,1062,341,329,45,215,1,0
1998,Chatham Sablefish LL Survey,8,1,1,56.75,-134.553333,401,1068,262,415,21,320,0,0
1998,Chatham Sablefish LL Survey,9,2,2,56.761167,-134.489333,361,1122,70,654,68,250,0,0
1998,Clarence Sablefish LL Survey,10,2,11,54.7875,-131.699,246,876,31,645,0,157,10,0
1998,Clarence Sablefish LL Survey,12,2,17,54.84,-131.88,221,1077,1,836,2,172,15,0
1998,Clarence Sablefish LL Survey,14,2,16,54.838333,-131.710833,227,1063,26,616,12,262,56,0
1998,Clarence Sablefish LL Survey,15,2,15,54.8485,-131.941667,235,1088,0,984,0,74,16,0
1998,Clarence Sablefish LL Survey,16,2,2,54.906,-131.928667,229,1093,1,940,35,51,6,0
1998,Clarence Sablefish LL Survey,17,2,3,54.900333,-131.858333,226,1084,1,901,0,145,14,0
1998,Clarence Sablefish LL Survey,18,2,1,54.919833,-131.804167,225,1029,4,843,0,122,16,0
1998,Clarence Sablefish LL Survey,2,2,10,54.660833,-131.902333,195,1103,140,571,26,197,83,0
1998,Clarence Sablefish LL Survey,20,1,13,54.989333,-131.712833,218,1087,15,824,12,188,16,5
1998,Clarence Sablefish LL Survey,21,1,14,55.048667,-131.8195,226,1088,2,985,15,44,4,0
1998,Clarence Sablefish LL Survey,26,1,15,55.161,-131.909333,210,1084,380,520,6,75,19,0
1998,Clarence Sablefish LL Survey,27,1,16,55.233667,-131.936,197,1056,41,765,0,149,56,0
1998,Clarence Sablefish LL Survey,3,2,14,54.746667,-131.7305,210,1076,0,865,1,133,12,0
1998,Clarence Sablefish LL Survey,30,1,17,55.292,-131.935667,230,1279,2,954,0,88,6,0
1998,Clarence Sablefish LL Survey,31,1,18,55.308667,-131.979,242,1243,0,1120,0,110,0,0
1998,Clarence Sablefish LL Survey,33,1,19,55.347167,-131.982167,219,986,0,798,3,159,8,0
1998,Clarence Sablefish LL Survey,35,1,11,55.429833,-131.9875,248,1080,0,970,13,68,11,0
1998,Clarence Sablefish LL Survey,36,1,12,55.429833,-131.9875,255,1098,0,882,10,160,13,0
1998,Clarence Sablefish LL Survey,37,1,10,55.4745,-131.985833,240,1070,12,836,1,151,9,2
1998,Clarence Sablefish LL Survey,39,1,9,55.501667,-132.134667,273,1091,6,854,5,153,13,0
1998,Clarence Sablefish LL Survey,4,2,12,54.699,-131.734333,210,1016,0,815,9,112,19,0
1998,Clarence Sablefish LL Survey,41,1,8,55.545833,-132.145667,250,1085,3,816,22,141,15,0
1998,Clarence Sablefish LL Survey,43,1,7,55.542,-132.1735,215,1080,334,534,0,152,6,0
1998,Clarence Sablefish LL Survey,44,1,6,55.551667,-132.196167,245,1072,4,730,25,241,7,0
1998,Clarence Sablefish LL Survey,46,1,5,55.5835,-132.253667,300,1094,1,910,2,142,5,0
1998,Clarence Sablefish LL Survey,47,1,3,55.599,-132.294,255,1091,71,753,25,173,16,0
1998,Clarence Sablefish LL Survey,48,1,4,55.622667,-132.260167,340,1086,82,767,35,168,5,2
1998,Clarence Sablefish LL Survey,49,1,2,55.647167,-132.288,340,1082,0,915,0,139,12,1
1998,Clarence Sablefish LL Survey,5,2,13,54.796667,-131.708333,236,1039,1,767,5,205,11,0
1998,Clarence Sablefish LL Survey,50,1,1,55.656333,-132.318833,360,1099,0,949,0,105,18,0
1998,Clarence Sablefish LL Survey,52,2,4,54.523333,-132.674667,198,1026,521,194,14,127,35,0
1998,Clarence Sablefish LL Survey,53,2,6,54.466667,-132.54,204,1020,216,486,31,113,16,0
1998,Clarence Sablefish LL Survey,54,2,5,54.474333,-132.360167,196,885,91,390,7,211,42,0
1998,Clarence Sablefish LL Survey,55,2,8,54.51,-131.818333,194,1087,4,640,41,278,24,0
1998,Clarence Sablefish LL Survey,56,2,7,54.530667,-131.8005,194,1074,33,611,46,284,36,0
1998,Clarence Sablefish LL Survey,57,2,9,54.626667,-131.693833,225,1075,1,795,8,230,7,0
1998,Clarence Sablefish LL Survey,6,2,18,54.798833,-131.843333,216,1079,0,870,0,153,12,0
1999,Chatham Sablefish LL Survey,1,1,7,56.572667,-134.576333,275,2225,1081,751,6,270,0,0
1999,Chatham Sablefish LL Survey,10,1,11,56.8125,-134.530167,378,1112,90,644,4,294,0,0
1999,Chatham Sablefish LL Survey,13,1,17,56.820833,-134.513333,212,1077,313,275,3,156,0,1
1999,Chatham Sablefish LL Survey,15,1,19,56.9075,-134.64,361,1123,279,362,46,389,0,0
1999,Chatham Sablefish LL Survey,16,1,18,56.905,-134.562667,355,1126,455,304,1,291,0,1
1999,Chatham Sablefish LL Survey,18,1,20,57.010667,-134.711,342,1124,272,498,21,288,0,1
1999,Chatham Sablefish LL Survey,19,1,21,57.021667,-134.731667,345,1127,545,272,69,180,0,0
1999,Chatham Sablefish LL Survey,21,2,15,57.124833,-134.701833,364,1026,197,369,22,389,0,0
1999,Chatham Sablefish LL Survey,22,2,14,57.190667,-134.807,318,1084,337,244,53,382,0,0
1999,Chatham Sablefish LL Survey,23,2,16,57.188,-134.682167,388,1085,618,139,66,214,0,1
1999,Chatham Sablefish LL Survey,24,2,13,57.264167,-134.673167,225,1096,234,453,20,238,0,0
1999,Chatham Sablefish LL Survey,25,2,17,57.278833,-134.648,260,1098,262,453,17,278,0,0
1999,Chatham Sablefish LL Survey,27,2,18,57.314333,-134.746,387,1072,151,498,19,352,0,1
1999,Chatham Sablefish LL Survey,28,2,10,57.332,-134.711333,294,1070,357,323,55,227,0,0
1999,Chatham Sablefish LL Survey,29,2,11,57.325667,-134.617,295,1113,123,495,60,309,0,6
1999,Chatham Sablefish LL Survey,3,1,8,56.589833,-134.520167,358,1090,577,261,10,199,1,2
1999,Chatham Sablefish LL Survey,30,2,23,57.329333,-134.655833,298,1055,247,346,12,386,0,0
1999,Chatham Sablefish LL Survey,32,2,22,57.375167,-134.767333,351,1095,470,251,65,270,0,1
1999,Chatham Sablefish LL Survey,33,2,12,57.424667,-134.688667,301,1104,298,388,12,371,0,0
1999,Chatham Sablefish LL Survey,35,2,19,57.519667,-134.701667,320,1050,295,354,25,342,0,1
1999,Chatham Sablefish LL Survey,37,2,21,57.538167,-134.752,329,1091,631,187,25,210,0,0
1999,Chatham Sablefish LL Survey,39,2,20,57.577667,-134.702833,242,1082,258,450,7,312,0,0
1999,Chatham Sablefish LL Survey,4,1,14,56.691833,-134.58,370,1127,199,529,8,354,0,0
1999,Chatham Sablefish LL Survey,41,2,1,57.694167,-134.876833,287,1089,549,215,22,253,0,0
1999,Chatham Sablefish LL Survey,42,2,2,57.710167,-134.8825,273,1118,318,312,29,412,0,0
1999,Chatham Sablefish LL Survey,43,2,3,57.739,-134.7635,292,1081,165,431,20,403,0,0
1999,Chatham Sablefish LL Survey,44,2,8,57.746833,-134.813,278,1087,267,345,22,438,0,0
1999,Chatham Sablefish LL Survey,45,2,9,57.7645,-134.835833,291,1089,231,393,25,420,0,1
1999,Chatham Sablefish LL Survey,46,2,7,57.805167,-134.810667,263,1076,505,192,27,319,0,0
1999,Chatham Sablefish LL Survey,47,2,4,57.847333,-134.768333,267,1067,458,272,30,239,0,0
1999,Chatham Sablefish LL Survey,49,2,5,57.879,-134.781667,276,1098,375,276,15,399,0,0
1999,Chatham Sablefish LL Survey,5,1,10,56.673667,-134.5515,375,1126,124,588,5,391,0,0
1999,Chatham Sablefish LL Survey,51,2,6,57.940833,-134.802,264,1077,291,452,20,263,0,0
1999,Chatham Sablefish LL Survey,52,1,6,56.232,-134.455,394,1087,353,343,45,268,0,0
1999,Chatham Sablefish LL Survey,53,1,9,56.446,-134.496667,386,1115,434,343,13,276,0,0
1999,Chatham Sablefish LL Survey,54,1,5,56.329167,-134.5645,341,1110,366,435,0,221,0,0
1999,Chatham Sablefish LL Survey,55,1,1,56.112167,-134.5085,289,1097,33,699,36,269,0,0
1999,Chatham Sablefish LL Survey,56,1,4,56.4365,-134.604833,310,1129,513,339,27,218,0,0
1999,Chatham Sablefish LL Survey,57,1,3,56.249333,-134.411833,376,1106,299,382,18,348,0,2
1999,Chatham Sablefish LL Survey,58,1,2,56.1325,-134.580667,296,1099,696,273,11,55,0,0
1999,Chatham Sablefish LL Survey,6,1,13,56.6855,-134.424667,242,1110,466,291,13,240,0,1
1999,Chatham Sablefish LL Survey,7,1,12,56.695333,-134.441833,287,1108,387,359,26,237,0,0
1999,Chatham Sablefish LL Survey,8,1,15,56.716,-134.553333,393,1129,291,543,2,270,0,1
1999,Chatham Sablefish LL Survey,9,1,16,56.731667,-134.474,358,1125,556,266,14,211,0,0
1999,Clarence Sablefish LL Survey,10,2,14,54.8325,-131.692,250,2160,310,980,50,590,146,0
1999,Clarence Sablefish LL Survey,12,2,17,54.813,-131.883,220,751,4,438,5,185,82,0
1999,Clarence Sablefish LL Survey,14,2,12,54.8405,-131.7125,227,1064,172,361,13,368,124,0
1999,Clarence Sablefish LL Survey,15,2,3,54.875167,-131.941667,234,1077,6,913,9,73,34,0
1999,Clarence Sablefish LL Survey,16,2,4,54.888833,-131.93,231,1029,4,798,31,118,53,0
1999,Clarence Sablefish LL Survey,17,2,2,54.919833,-131.858333,226,1065,2,822,9,120,74,0
1999,Clarence Sablefish LL Survey,18,2,1,54.9255,-131.802667,227,1054,10,666,57,138,151,0
1999,Clarence Sablefish LL Survey,2,2,11,54.661667,-131.905,198,1066,41,400,4,430,88,0
1999,Clarence Sablefish LL Survey,20,1,1,55.012667,-131.722333,219,1070,7,500,1,234,297,1
1999,Clarence Sablefish LL Survey,21,1,2,55.062667,-131.837667,225,1047,3,777,0,123,107,0
1999,Clarence Sablefish LL Survey,26,1,3,55.183167,-131.901,210,1084,34,595,0,147,210,0
1999,Clarence Sablefish LL Survey,27,1,4,55.232833,-131.936833,197,1050,195,397,0,162,260,0
1999,Clarence Sablefish LL Survey,3,2,16,54.729,-131.731667,210,782,4,428,2,293,37,0
1999,Clarence Sablefish LL Survey,30,1,5,55.292167,-131.9365,230,1076,4,805,0,111,114,0
1999,Clarence Sablefish LL Survey,31,1,6,55.328833,-131.9995,240,1059,1,921,1,106,15,0
1999,Clarence Sablefish LL Survey,33,1,7,55.3665,-131.983167,219,1093,0,979,0,72,28,0
1999,Clarence Sablefish LL Survey,35,1,9,55.406333,-131.983167,248,1079,1,904,0,123,42,0
1999,Clarence Sablefish LL Survey,36,1,8,55.4045,-131.937333,255,1087,45,565,0,305,140,0
1999,Clarence Sablefish LL Survey,37,1,10,55.477667,-131.987167,234,1007,128,519,8,215,67,0
1999,Clarence Sablefish LL Survey,39,1,11,55.502333,-132.135,271,1042,137,509,0,274,70,0
1999,Clarence Sablefish LL Survey,4,2,15,54.7015,-131.733333,208,807,2,502,5,163,91,0
1999,Clarence Sablefish LL Survey,41,1,18,55.535167,-132.115333,253,298,4,160,3,96,18,0
1999,Clarence Sablefish LL Survey,43,1,19,55.519833,-132.161667,210,784,221,281,3,182,28,0
1999,Clarence Sablefish LL Survey,44,1,12,55.570167,-132.227833,285,1070,21,541,17,435,25,2
1999,Clarence Sablefish LL Survey,46,1,17,55.587833,-132.2575,320,787,0,606,26,134,4,0
1999,Clarence Sablefish LL Survey,47,1,16,55.602,-132.2955,255,993,134,430,30,345,32,1
1999,Clarence Sablefish LL Survey,48,1,13,55.601667,-132.239667,340,1079,3,845,0,200,18,1
1999,Clarence Sablefish LL Survey,49,1,15,55.625617,-132.27475,340,1076,0,852,12,176,14,1
1999,Clarence Sablefish LL Survey,5,2,13,54.7745,-131.711667,225,1055,9,699,10,172,121,0
1999,Clarence Sablefish LL Survey,50,1,14,55.6335,-132.312833,350,1088,1,878,0,171,14,1
1999,Clarence Sablefish LL Survey,52,2,6,54.525,-132.6335,201,1080,37,439,32,254,202,0
1999,Clarence Sablefish LL Survey,53,2,7,54.466667,-132.544,203,1029,50,335,20,222,94,0
1999,Clarence Sablefish LL Survey,54,2,5,54.475333,-132.356667,198,1077,172,343,24,268,121,0
1999,Clarence Sablefish LL Survey,55,2,8,54.485,-131.816833,194,1058,8,419,21,532,40,0
1999,Clarence Sablefish LL Survey,56,2,9,54.51,-131.8,188,1032,0,480,10,387,103,0
1999,Clarence Sablefish LL Survey,57,2,10,54.627667,-131.693167,226,1089,17,606,50,217,152,0
1999,Clarence Sablefish LL Survey,6,2,18,54.783333,-131.845,216,793,10,451,17,247,51,0
2000,Chatham Sablefish LL Survey,1,1,6,56.571833,-134.5765,296,2222,828,670,160,275,0,2
2000,Chatham Sablefish LL Survey,10,2,4,56.784333,-134.529833,383,1125,440,267,19,268,0,0
2000,Chatham Sablefish LL Survey,101,1,51,56.716833,-134.4795,0,1,0,1,0,0,0,0
2000,Chatham Sablefish LL Survey,102,1,52,56.667333,-134.448667,334,1,0,1,0,0,0,0
2000,Chatham Sablefish LL Survey,103,1,53,56.6995,-134.526667,389,2,0,2,0,0,0,0
2000,Chatham Sablefish LL Survey,103,2,53,57.094,-134.761,334,2,0,2,0,0,0,0
2000,Chatham Sablefish LL Survey,13,2,5,56.815667,-134.510667,218,1088,400,279,0,165,0,2
2000,Chatham Sablefish LL Survey,15,2,1,56.910833,-134.639667,365,1114,274,327,13,440,0,0
2000,Chatham Sablefish LL Survey,16,2,2,56.88,-134.5625,349,1128,282,430,46,266,0,1
2000,Chatham Sablefish LL Survey,18,2,15,57.008667,-134.710333,331,1120,429,383,32,136,0,1
2000,Chatham Sablefish LL Survey,19,2,14,57.051667,-134.732,345,1126,158,564,42,210,0,1
2000,Chatham Sablefish LL Survey,201,2,51,56.851667,-134.643333,379,1,0,1,0,0,0,0
2000,Chatham Sablefish LL Survey,202,2,52,56.778167,-134.491167,352,1,0,1,0,0,0,0
2000,Chatham Sablefish LL Survey,21,2,7,57.101833,-134.701667,350,1119,398,375,56,237,0,0
2000,Chatham Sablefish LL Survey,22,2,6,57.191667,-134.8055,317,1124,561,145,43,267,0,0
2000,Chatham Sablefish LL Survey,23,2,13,57.188,-134.681667,329,1122,664,136,32,190,0,1
2000,Chatham Sablefish LL Survey,24,2,12,57.233667,-134.679167,260,1069,331,379,21,77,0,1
2000,Chatham Sablefish LL Survey,25,2,8,57.277,-134.647,260,1175,517,306,18,216,0,1
2000,Chatham Sablefish LL Survey,27,2,11,57.311167,-134.746333,385,1202,598,253,33,262,0,1
2000,Chatham Sablefish LL Survey,28,2,10,57.3355,-134.711833,305,1125,406,282,27,272,0,0
2000,Chatham Sablefish LL Survey,29,2,9,57.347667,-134.617,293,667,184,168,20,234,0,0
2000,Chatham Sablefish LL Survey,3,1,7,56.559333,-134.518667,358,1114,532,316,70,114,0,2
2000,Chatham Sablefish LL Survey,30,3,13,57.327667,-134.656167,326,1127,279,235,61,488,0,2
2000,Chatham Sablefish LL Survey,32,3,14,57.373833,-134.767667,371,1127,373,254,43,372,0,2
2000,Chatham Sablefish LL Survey,33,3,15,57.4205,-134.689,299,1124,323,264,21,470,0,1
2000,Chatham Sablefish LL Survey,35,3,12,57.520833,-134.701,302,1127,361,344,41,326,0,1
2000,Chatham Sablefish LL Survey,37,3,11,57.563833,-134.752333,333,1124,300,287,23,446,0,2
2000,Chatham Sablefish LL Survey,39,3,10,57.599833,-134.729333,264,1124,614,172,31,238,1,0
2000,Chatham Sablefish LL Survey,4,1,5,56.692667,-134.579333,374,1111,263,393,67,301,0,0
2000,Chatham Sablefish LL Survey,41,3,1,57.689,-134.8365,275,1222,280,347,149,317,0,8
2000,Chatham Sablefish LL Survey,42,3,2,57.7095,-134.882333,300,1128,504,149,73,368,0,1
2000,Chatham Sablefish LL Survey,43,3,3,57.757,-134.7655,281,1036,393,181,37,364,0,5
2000,Chatham Sablefish LL Survey,44,3,9,57.7465,-134.8125,279,1134,251,275,45,531,0,1
2000,Chatham Sablefish LL Survey,45,3,8,57.765167,-134.8365,295,1127,349,236,57,437,0,0
2000,Chatham Sablefish LL Survey,46,3,7,57.803333,-134.810333,259,1124,474,153,46,405,0,3
2000,Chatham Sablefish LL Survey,47,3,6,57.868333,-134.770333,255,1129,424,226,112,252,0,4
2000,Chatham Sablefish LL Survey,49,3,5,57.879333,-134.7815,276,1125,271,264,46,485,0,3
2000,Chatham Sablefish LL Survey,5,1,4,56.673333,-134.557667,373,1093,148,508,91,273,0,1
2000,Chatham Sablefish LL Survey,51,3,4,57.916667,-134.7965,275,1120,493,230,64,286,0,2
2000,Chatham Sablefish LL Survey,52,1,13,56.232167,-134.454667,393,1119,567,173,47,130,0,2
2000,Chatham Sablefish LL Survey,53,1,8,56.448833,-134.498833,386,1126,583,223,71,154,0,0
2000,Chatham Sablefish LL Survey,54,1,10,56.308833,-134.565333,300,1134,525,256,32,132,0,3
2000,Chatham Sablefish LL Survey,55,1,12,56.088833,-134.509333,290,1125,266,314,91,330,0,7
2000,Chatham Sablefish LL Survey,56,1,9,56.4365,-134.604667,308,1119,463,209,128,208,0,1
2000,Chatham Sablefish LL Survey,57,1,14,56.252167,-134.412167,380,1128,464,283,53,187,0,0
2000,Chatham Sablefish LL Survey,58,1,11,56.108167,-134.582333,294,1119,526,210,49,91,0,0
2000,Chatham Sablefish LL Survey,6,1,2,56.708833,-134.438,255,1121,378,221,40,361,0,1
2000,Chatham Sablefish LL Survey,7,1,1,56.721,-134.445833,272,1096,312,308,73,278,0,1
2000,Chatham Sablefish LL Survey,8,1,3,56.751833,-134.5525,393,1110,420,303,17,246,0,1
2000,Chatham Sablefish LL Survey,9,2,3,56.756833,-134.486833,359,1077,410,302,11,253,0,0
2000,Clarence Sablefish LL Survey,10,2,17,54.779333,-131.698667,249,2256,11,1326,108,309,461,0
2000,Clarence Sablefish LL Survey,101,1,51,55.736333,-132.301083,260,1,0,1,0,0,0,0
2000,Clarence Sablefish LL Survey,102,1,52,55.708333,-132.266,295,1,0,1,0,0,0,0
2000,Clarence Sablefish LL Survey,103,1,53,55.674,-132.249667,300,1,0,1,0,0,0,0
2000,Clarence Sablefish LL Survey,12,2,5,54.836167,-131.880667,219,1132,18,698,20,291,19,0
2000,Clarence Sablefish LL Survey,14,2,18,54.862833,-131.7105,232,1133,3,455,9,304,324,0
2000,Clarence Sablefish LL Survey,15,2,3,54.873833,-131.941667,233,1114,2,951,15,113,5,0
2000,Clarence Sablefish LL Survey,16,2,4,54.888833,-131.930667,230,1121,0,933,19,109,5,0
2000,Clarence Sablefish LL Survey,17,2,2,54.920167,-131.86,227,1116,3,890,17,150,6,0
2000,Clarence Sablefish LL Survey,18,2,1,54.924167,-131.803333,228,1094,3,766,16,222,21,0
2000,Clarence Sablefish LL Survey,2,2,15,54.663167,-131.904667,197,1146,307,338,28,296,58,0
2000,Clarence Sablefish LL Survey,20,1,4,55.013833,-131.722,219,1117,17,853,12,129,55,0
2000,Clarence Sablefish LL Survey,201,2,51,54.995,-131.827,237,1,0,1,0,0,0,0
2000,Clarence Sablefish LL Survey,202,2,52,54.975833,-131.813167,249,1,0,1,0,0,0,0
2000,Clarence Sablefish LL Survey,203,2,53,54.981667,-131.873333,195,1,0,1,0,0,0,0
2000,Clarence Sablefish LL Survey,21,1,5,55.068167,-131.8325,225,1119,1,884,10,125,46,0
2000,Clarence Sablefish LL Survey,26,1,6,55.1815,-131.900167,210,1111,172,546,5,175,50,0
2000,Clarence Sablefish LL Survey,27,1,7,55.232333,-131.9365,197,1103,84,605,10,264,52,0
2000,Clarence Sablefish LL Survey,3,2,7,54.750667,-131.731333,210,1133,4,694,17,255,120,0
2000,Clarence Sablefish LL Survey,30,1,8,55.294333,-131.934333,230,1110,1,956,10,106,12,1
2000,Clarence Sablefish LL Survey,31,1,9,55.3295,-131.999333,239,1115,2,959,19,106,4,0
2000,Clarence Sablefish LL Survey,33,1,10,55.367667,-131.982333,218,1116,2,898,9,182,11,0
2000,Clarence Sablefish LL Survey,35,1,2,55.432167,-131.987167,248,1098,2,934,8,122,3,0
2000,Clarence Sablefish LL Survey,36,1,3,55.421667,-131.951333,250,1098,19,666,24,295,11,0
2000,Clarence Sablefish LL Survey,37,1,1,55.4865,-132.027167,234,918,121,465,4,230,5,1
2000,Clarence Sablefish LL Survey,39,1,17,55.502,-132.134667,171,1108,6,799,20,216,7,1
2000,Clarence Sablefish LL Survey,4,2,8,54.698667,-131.735,209,1123,1,759,17,172,106,0
2000,Clarence Sablefish LL Survey,41,1,18,55.547667,-132.151333,259,1098,77,615,26,253,31,0
2000,Clarence Sablefish LL Survey,43,1,19,55.543167,-132.174667,210,1117,115,432,131,337,8,0
2000,Clarence Sablefish LL Survey,44,1,11,55.568333,-132.225333,280,1109,42,439,146,429,5,0
2000,Clarence Sablefish LL Survey,46,1,15,55.604667,-132.2725,310,1103,1,785,10,275,4,0
2000,Clarence Sablefish LL Survey,47,1,12,55.5795,-132.278333,260,1101,30,673,36,326,5,0
2000,Clarence Sablefish LL Survey,48,1,16,55.603,-132.241,340,1108,16,644,39,380,3,0
2000,Clarence Sablefish LL Survey,49,1,14,55.647833,-132.283667,340,1052,1,782,77,179,1,2
2000,Clarence Sablefish LL Survey,5,2,16,54.7725,-131.7125,225,1130,7,719,34,234,102,0
2000,Clarence Sablefish LL Survey,50,1,13,55.653333,-132.3195,360,1106,8,706,92,279,3,2
2000,Clarence Sablefish LL Survey,52,2,10,54.525,-132.635333,201,1124,137,344,11,317,98,0
2000,Clarence Sablefish LL Survey,53,2,11,54.466667,-132.541833,204,1126,108,332,65,345,22,0
2000,Clarence Sablefish LL Survey,54,2,9,54.474,-132.4005,197,1116,122,313,18,397,68,0
2000,Clarence Sablefish LL Survey,55,2,12,54.482667,-131.816167,194,1137,8,666,18,278,86,0
2000,Clarence Sablefish LL Survey,56,2,13,54.531833,-131.798333,188,1128,4,680,28,266,73,0
2000,Clarence Sablefish LL Survey,57,2,14,54.629167,-131.692667,288,1118,0,850,38,148,31,0
2000,Clarence Sablefish LL Survey,6,2,6,54.799167,-131.844333,215,1138,0,760,15,296,15,0
2001,Chatham Sablefish LL Survey,1,1,7,56.571167,-134.576,295,2197,973,472,34,509,0,6
2001,Chatham Sablefish LL Survey,10,2,2,56.8135,-134.53,376,1123,62,516,56,414,0,1
2001,Chatham Sablefish LL Survey,13,2,1,56.842667,-134.5115,214,1115,238,362,21,383,0,0
2001,Chatham Sablefish LL Survey,15,2,5,56.907167,-134.64,362,1119,40,427,31,574,0,1
2001,Chatham Sablefish LL Survey,16,2,4,56.9035,-134.562333,358,1127,293,329,40,388,0,1
2001,Chatham Sablefish LL Survey,18,2,6,57.010833,-134.711,342,1117,101,457,75,400,0,1
2001,Chatham Sablefish LL Survey,19,2,7,57.022167,-134.731667,346,1142,313,303,79,344,0,5
2001,Chatham Sablefish LL Survey,21,2,9,57.123167,-134.701333,344,1126,130,476,35,458,0,0
2001,Chatham Sablefish LL Survey,22,2,8,57.189333,-134.806,320,1103,144,329,32,534,0,3
2001,Chatham Sablefish LL Survey,23,2,10,57.189,-134.682,364,1124,611,225,25,209,0,4
2001,Chatham Sablefish LL Survey,24,2,11,57.257667,-134.674833,226,1132,240,334,22,379,0,2
2001,Chatham Sablefish LL Survey,25,2,12,57.300833,-134.668667,270,1101,176,379,43,445,0,2
2001,Chatham Sablefish LL Survey,27,2,15,57.337333,-134.7465,382,1119,554,212,40,294,0,0
