"Year","PROJECT_CODE","n","species","Count","Count_CPUE","Count_CPUE_var","Kg_CPUE","Kg_CPUE_var","Kilograms"
1993,"T06",38,"Salmon Shark",0,0,0,0,0,0
1993,"T06",38,"Spiny Dogfish",0,0,0,0,0,0
1994,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
1994,"T04",16,"Salmon Shark",0,0,0,0,0,0
1994,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
1994,"T05",17,"Pacific Sleeper Shark",0,0,0,0,0,0
1994,"T05",17,"Salmon Shark",0,0,0,0,0,0
1994,"T05",17,"Spiny Dogfish",0,0,0,0,0,0
1994,"T06",38,"Pacific Sleeper Shark",0,0,0,0,0,0
1994,"T06",38,"Salmon Shark",0,0,0,0,0,0
1994,"T06",38,"Spiny Dogfish",0,0,0,0,0,0
1995,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
1995,"T04",16,"Salmon Shark",0,0,0,0,0,0
1995,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
1995,"T05",24,"Pacific Sleeper Shark",0,0,0,0,0,0
1995,"T05",24,"Salmon Shark",0,0,0,0,0,0
1995,"T05",24,"Spiny Dogfish",0,0,0,0,0,0
1995,"T06",32,"Pacific Sleeper Shark",0,0,0,0,0,0
1995,"T06",32,"Salmon Shark",0,0,0,0,0,0
1995,"T06",32,"Spiny Dogfish",0,0,0,0,0,0
1996,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
1996,"T04",16,"Salmon Shark",0,0,0,0,0,0
1996,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
1996,"T05",18,"Pacific Sleeper Shark",0,0,0,0,0,0
1996,"T05",18,"Salmon Shark",0,0,0,0,0,0
1996,"T05",18,"Spiny Dogfish",0,0,0,0,0,0
1997,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
1997,"T04",16,"Salmon Shark",0,0,0,0,0,0
1997,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
1997,"T05",18,"Pacific Sleeper Shark",0,0,0,0,0,0
1997,"T05",18,"Salmon Shark",0,0,0,0,0,0
1997,"T05",18,"Spiny Dogfish",0,0,0,0,0,0
1997,"T06",39,"Pacific Sleeper Shark",0,0,0,0,0,0
1997,"T06",39,"Salmon Shark",1,0.024894,0.024169,2.868122,320.818835,115.212461
1997,"T06",39,"Spiny Dogfish",19,0.473781,0.442639,1.151366,2.842658,46.266421
1998,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
1998,"T04",16,"Salmon Shark",0,0,0,0,0,0
1998,"T04",16,"Spiny Dogfish",1,0.074404,0.088577,0.337494,1.822438,4.535923
1998,"T05",22,"Pacific Sleeper Shark",0,0,0,0,0,0
1998,"T05",22,"Salmon Shark",0,0,0,0,0,0
1998,"T05",22,"Spiny Dogfish",108,4.786506,16.070099,15.581651,134.349347,351.987679
1999,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
1999,"T04",16,"Salmon Shark",0,0,0,0,0,0
1999,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
1999,"T05",20,"Pacific Sleeper Shark",1,0.049019,0.048058,3.646526,265.943168,74.389148
1999,"T05",20,"Salmon Shark",0,0,0,0,0,0
1999,"T05",20,"Spiny Dogfish",33,1.776142,11.883265,6.820271,138.873367,125.191494
1999,"T06",44,"Pacific Sleeper Shark",0,0,0,0,0,0
1999,"T06",44,"Salmon Shark",0,0,0,0,0,0
1999,"T06",44,"Spiny Dogfish",1,0.022956,0.023188,0.083304,0.305343,3.628738
2000,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
2000,"T04",16,"Salmon Shark",0,0,0,0,0,0
2000,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
2000,"T05",24,"Pacific Sleeper Shark",0,0,0,0,0,0
2000,"T05",24,"Salmon Shark",0,0,0,0,0,0
2000,"T05",24,"Spiny Dogfish",81,3.342384,3.616633,12.337323,54.535395,297.103002
2001,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
2001,"T04",16,"Salmon Shark",0,0,0,0,0,0
2001,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
2001,"T05",24,"Pacific Sleeper Shark",0,0,0,0,0,0
2001,"T05",24,"Salmon Shark",0,0,0,0,0,0
2001,"T05",24,"Spiny Dogfish",63,2.61656,9.784399,9.858889,159.870207,237.260261
2001,"T06",45,"Pacific Sleeper Shark",0,0,0,0,0,0
2001,"T06",45,"Salmon Shark",0,0,0,0,0,0
2001,"T06",45,"Spiny Dogfish",76,1.704503,5.325633,4.048875,30.257322,180.715393
2002,"T04",14,"Pacific Sleeper Shark",1,0.071428,0.071428,23.522004,7745.985627,329.30806
2002,"T04",14,"Salmon Shark",0,0,0,0,0,0
2002,"T04",14,"Spiny Dogfish",1,0.071428,0.071428,0.194396,0.529061,2.721554
2002,"T05",19,"Pacific Sleeper Shark",0,0,0,0,0,0
2002,"T05",19,"Salmon Shark",0,0,0,0,0,0
2002,"T05",19,"Spiny Dogfish",60,3.12102,7.695125,11.875816,104.874171,224.538707
2003,"T04",16,"Pacific Sleeper Shark",1,0.071839,0.082573,1.173083,22.018006,16.329325
2003,"T04",16,"Salmon Shark",0,0,0,0,0,0
2003,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
2003,"T05",17,"Pacific Sleeper Shark",1,0.058241,0.057664,21.187016,7631.12467,363.78108
2003,"T05",17,"Salmon Shark",0,0,0,0,0,0
2003,"T05",17,"Spiny Dogfish",323,18.978961,377.239475,53.949183,2659.577974,918.978141
2003,"T06",41,"Pacific Sleeper Shark",0,0,0,0,0,0
2003,"T06",41,"Salmon Shark",0,0,0,0,0,0
2003,"T06",41,"Spiny Dogfish",51,1.266439,2.959222,2.961861,17.989096,119.226831
2004,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
2004,"T04",16,"Salmon Shark",0,0,0,0,0,0
2004,"T04",16,"Spiny Dogfish",0,0,0,0,0,0
2004,"T05",22,"Pacific Sleeper Shark",0,0,0,0,0,0
2004,"T05",22,"Salmon Shark",0,0,0,0,0,0
2004,"T05",22,"Spiny Dogfish",200,9.234429,72.158833,25.735564,570.64515,557.01143
2005,"T04",15,"Pacific Sleeper Shark",0,0,0,0,0,0
2005,"T04",15,"Salmon Shark",0,0,0,0,0,0
2005,"T04",15,"Spiny Dogfish",1,0.06734,0.06802,0.13468,0.272081,2
2005,"T05",21,"Pacific Sleeper Shark",0,0,0,0,0,0
2005,"T05",21,"Salmon Shark",0,0,0,0,0,0
2005,"T05",21,"Spiny Dogfish",157,7.448078,187.933671,23.477137,2608.329985,494.6
2005,"T06",44,"Pacific Sleeper Shark",2,0.045459,0.04441,8.177295,1577.836273,358.7
2005,"T06",44,"Salmon Shark",0,0,0,0,0,0
2005,"T06",44,"Spiny Dogfish",141,3.219964,26.023969,5.670406,53.392155,248.210958
2006,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
2006,"T04",16,"Salmon Shark",0,0,0,0,0,0
2006,"T04",16,"Spiny Dogfish",650,48.707796,6705.423881,128.725269,38278.366531,1776.9
2006,"T05",27,"Pacific Sleeper Shark",0,0,0,0,0,0
2006,"T05",27,"Salmon Shark",0,0,0,0,0,0
2006,"T05",27,"Spiny Dogfish",50,1.81999,4.351813,5.068821,35.719619,139.65
2007,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
2007,"T04",16,"Salmon Shark",0,0,0,0,0,0
2007,"T04",16,"Spiny Dogfish",111,7.007577,81.016333,23.543624,576.892498,372
2007,"T05",24,"Pacific Sleeper Shark",0,0,0,0,0,0
2007,"T05",24,"Salmon Shark",0,0,0,0,0,0
2007,"T05",24,"Spiny Dogfish",215,8.971121,74.9891,27.618404,636.552255,660
2007,"T06",43,"Pacific Sleeper Shark",4,0.093267,0.086844,16.611502,3467.746677,713.850054
2007,"T06",43,"Salmon Shark",0,0,0,0,0,0
2007,"T06",43,"Spiny Dogfish",30,0.707539,1.729188,1.920582,10.310469,81.532459
2008,"T04",16,"Pacific Sleeper Shark",0,0,0,0,0,0
2008,"T04",16,"Salmon Shark",0,0,0,0,0,0
2008,"T04",16,"Spiny Dogfish",71,4.477913,30.984033,24.999255,907.87848,397
2009,"T04",15,"Pacific Sleeper Shark",0,0,0,0,0,0
2009,"T04",15,"Salmon Shark",0,0,0,0,0,0
2009,"T04",15,"Spiny Dogfish",0,0,0,0,0,0
2009,"T06",50,"Pacific Sleeper Shark",0,0,0,0,0,0
2009,"T06",50,"Salmon Shark",0,0,0,0,0,0
2009,"T06",50,"Spiny Dogfish",3,0.060408,0.058342,0.135583,0.320755,6.72
2010,"T05",24,"Pacific Sleeper Shark",0,0,0,0,0,0
2010,"T05",24,"Salmon Shark",0,0,0,0,0,0
2010,"T05",24,"Spiny Dogfish",256,10.680984,54.380395,30.544798,363.065343,732
2011,"T04",37,"Pacific Sleeper Shark",0,0,0,0,0,0
2011,"T04",37,"Salmon Shark",0,0,0,0,0,0
2011,"T04",37,"Spiny Dogfish",0,0,0,0,0,0
2011,"T06",51,"Pacific Sleeper Shark",0,0,0,0,0,0
2011,"T06",51,"Salmon Shark",0,0,0,0,0,0
2011,"T06",51,"Spiny Dogfish",39,0.795122,6.170294,1.437755,22.566992,70.75
2012,"T04",37,"Pacific Sleeper Shark",1,0.051746,0.099073,10.866696,4369.148578,210
2012,"T04",37,"Salmon Shark",0,0,0,0,0,0
2012,"T04",37,"Spiny Dogfish",0,0,0,0,0,0
2012,"T05",23,"Pacific Sleeper Shark",0,0,0,0,0,0
2012,"T05",23,"Salmon Shark",0,0,0,0,0,0
2012,"T05",23,"Spiny Dogfish",315,13.820435,916.396014,28.249093,3914.354314,643.75
2013,"T04",37,"Pacific Sleeper Shark",0,0,0,0,0,0
2013,"T04",37,"Salmon Shark",0,0,0,0,0,0
2013,"T04",37,"Spiny Dogfish",0,0,0,0,0,0
2013,"T06",48,"Pacific Sleeper Shark",0,0,0,0,0,0
2013,"T06",48,"Salmon Shark",0,0,0,0,0,0
2013,"T06",48,"Spiny Dogfish",1,0.02036,0.019899,0.042758,0.087755,2.1
2014,"T06",46,"Pacific Sleeper Shark",1,0.034253,0.053971,7.467207,2564.92263,218
2014,"T06",46,"Salmon Shark",0,0,0,0,0,0
2014,"T06",46,"Spiny Dogfish",104,2.277593,16.407336,4.723451,74.170386,213.25
2015,"T06",48,"Pacific Sleeper Shark",0,0,0,0,0,0
2015,"T06",48,"Salmon Shark",0,0,0,0,0,0
2015,"T06",48,"Spiny Dogfish",494,10.107241,927.701181,18.72885,3158.617664,916.12
