"year","proj","n","species","Count","Count_CPUE","Count_CPUE_var","Count_density","Kg_CPUE","Kg_CPUE_var","Kg_density","Kilograms"
2018,"T04",39,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2018,"T04",39,"Salmon Shark",0,0,0,0,0,0,0,0
2018,"T04",39,"Spiny Dogfish",49.86734128,1.278649776,0.380917168,194.226901,3.582219179,1.13090379,544.1390933,139.706548
2018,"T06",43,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2018,"T06",43,"Salmon Shark",0,0,0,0,0,0,0,0
2018,"T06",43,"Spiny Dogfish",0,0,0,0,0,0,0,0
2019,"T04",38,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2019,"T04",38,"Salmon Shark",0,0,0,0,0,0,0,0
2019,"T04",38,"Spiny Dogfish",0,0,0,0,0,0,0,0
2019,"T06",43,"Pacific Sleeper Shark",0,0,0,0,0,0,0,0
2019,"T06",43,"Salmon Shark",0,0,0,0,0,0,0,0
2019,"T06",43,"Spiny Dogfish",37.82366564,0.879620131,0.319708278,133.6142979,1.936986426,0.687953676,294.2282382,83.29041634
