Year,Survey Country,Geographic Area Name,Geographic Area Code,NPFMC Sablefish Mgmt Area,Species Code,Common Name,Depth Stratum,Stratum Description,Geographic Area Size (km) ,Exploitable,Count Stations,Count Index Stations ,Mean Length (cm),Mean Weight (kg),CPUE,RPN,RPW
2014,United States,Dixon Entrance,55,East Yakutat/Southeast,310,"""Spiny dogfish""",2a,101-150m,,1,1,1,75.3529411764706,3.5497098549597,0.404545454545454,,
2014,United States,Dixon Entrance,55,East Yakutat/Southeast,310,"""Spiny dogfish""",3,201-300m,1130,1,1,1,74.6,3.43952222675796,0.946967899210424,1070.07372610778,3876.47998663698
2014,United States,Dixon Entrance,55,East Yakutat/Southeast,310,"""Spiny dogfish""",4,301-400m,793,1,1,1,71.25,2.97743774532547,0.106487148102815,84.4443084455324,261.198606941767
2014,United States,Dixon Entrance,55,East Yakutat/Southeast,310,"""Spiny dogfish""",5,401-600m,58,1,1,1,76,3.64630406637581,0.056978233034571,3.30473751600512,12.9438545380428
2014,United States,East Yakutat slope,39,East Yakutat/Southeast,310,"""Spiny dogfish""",2b,151-200m,2581,1,1,1,,,0,0,0
2014,United States,East Yakutat slope,39,East Yakutat/Southeast,310,"""Spiny dogfish""",3,201-300m,502,1,3,3,90,6.20039962964205,0.067424242424242,33.8469696969697,209.951788337271
2014,United States,East Yakutat slope,39,East Yakutat/Southeast,310,"""Spiny dogfish""",4,301-400m,502,1,3,3,65,2.23175307518766,0.014492753623188,7.27536231884058,16.2368122281769
2014,United States,East Yakutat slope,39,East Yakutat/Southeast,310,"""Spiny dogfish""",5,401-600m,395,1,3,3,,,0,0,0
2014,United States,East Yakutat slope,39,East Yakutat/Southeast,310,"""Spiny dogfish""",6,601-800m,225,1,3,3,,,0,0,0
2014,United States,East Yakutat slope,39,East Yakutat/Southeast,310,"""Spiny dogfish""",7,801-1000m,207,1,2,2,,,0,0,0
2014,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,1480,1,8,8,,,0,0,0
2014,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",7,801-1000m,2296,1,2,2,,,0,0,0
2014,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,2,2,,,0,,
2014,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",5,401-600m,3800,1,5,5,,,0,0,0
2014,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",6,601-800m,3250,1,5,5,,,0,0,0
2014,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",7,801-1000m,2786,1,2,2,,,0,0,0
2014,United States,Ommaney Trench,47,East Yakutat/Southeast,310,"""Spiny dogfish""",3,201-300m,521,1,1,1,62.2173913043478,1.94527608170848,1.14728682170543,597.736434108527,1202.65846184031
2014,United States,Ommaney Trench,47,East Yakutat/Southeast,310,"""Spiny dogfish""",4,301-400m,610,1,2,2,66.5238573114569,2.40019933649277,0.209093104157289,127.546793535946,313.872517351403
2014,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",2b,151-200m,2202,1,5,5,,,0,0,0
2014,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",7,801-1000m,1570,1,2,2,,,0,0,0
2014,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",8,1001-1200m,,1,1,1,,,0,,
2014,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2a,101-150m,,1,6,6,75.1044327573253,3.51308043095736,0.042013888888889,,
2014,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,2487,1,8,8,71.7476693951796,3.04322938424912,0.035761912506099,88.9398764026671,277.396423672855
2014,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,2737,1,10,10,68.2301112061591,2.59886123078258,0.015536948431685,42.5246278575226,112.384790391148
2014,United States,Southeast slope,45,East Yakutat/Southeast,310,"""Spiny dogfish""",2b,151-200m,2742,1,1,1,72.7777777777778,3.18254390970162,9.64285714285714,26440.7142857143,86543.3443763739
2014,United States,Southeast slope,45,East Yakutat/Southeast,310,"""Spiny dogfish""",3,201-300m,891,1,6,6,72.474924661854,3.14114372232522,1.2617645925409,1124.23225195395,3639.58160228299
2014,United States,Southeast slope,45,East Yakutat/Southeast,310,"""Spiny dogfish""",4,301-400m,891,1,8,8,76.877128787,3.78008241307472,0.099696173254836,88.8292903700589,377.940277073848
2014,United States,Southeast slope,45,East Yakutat/Southeast,310,"""Spiny dogfish""",5,401-600m,822,1,8,8,81,4.45390717233374,0.001785714285714,1.46785714285714,6.53769945653274
2014,United States,Southeast slope,45,East Yakutat/Southeast,310,"""Spiny dogfish""",7,801-1000m,1165,1,5,5,,,0,0,0
2014,United States,Southeast slope,45,East Yakutat/Southeast,310,"""Spiny dogfish""",8,1001-1200m,,1,1,1,,,0,,
2014,United States,Spencer Gully,46,East Yakutat/Southeast,310,"""Spiny dogfish""",3,201-300m,189,1,1,1,69,2.69205759375829,0.230769230769231,43.6153846153846,118.79620592471
2014,United States,Spencer Gully,46,East Yakutat/Southeast,310,"""Spiny dogfish""",4,301-400m,189,1,2,2,83,4.80843126222208,0.019607843137255,3.70588235294118,18.0367573091151
2014,United States,Spencer Gully,46,East Yakutat/Southeast,310,"""Spiny dogfish""",5,401-600m,301,1,2,2,,,0,0,0
2014,United States,Spencer Gully,46,East Yakutat/Southeast,310,"""Spiny dogfish""",6,601-800m,50,1,2,2,,,0,0,0
2014,United States,W Yakutat slope,38,West Yakutat,310,"""Spiny dogfish""",1,0-100m,,1,2,2,,,0,,
2014,United States,W Yakutat slope,38,West Yakutat,310,"""Spiny dogfish""",2a,101-150m,,1,2,2,,,0,,
2014,United States,W Yakutat slope,38,West Yakutat,310,"""Spiny dogfish""",2b,151-200m,5116,1,5,5,79.7271428571429,4.23781186368656,0.090392561983471,462.448347107438,2041.46412645697
2014,United States,W Yakutat slope,38,West Yakutat,310,"""Spiny dogfish""",3,201-300m,992,1,8,7,74,3.35340341265696,0.030539772727273,30.2954545454545,86.4575899026744
2014,United States,W Yakutat slope,38,West Yakutat,310,"""Spiny dogfish""",4,301-400m,992,1,8,7,66,2.3413490292841,0.0078125,7.75,10.368831415401
2014,United States,W Yakutat slope,38,West Yakutat,310,"""Spiny dogfish""",5,401-600m,1271,1,8,8,,,0,0,0
2014,United States,W Yakutat slope,38,West Yakutat,310,"""Spiny dogfish""",6,601-800m,1245,1,8,8,,,0,0,0
2014,United States,W Yakutat slope,38,West Yakutat,310,"""Spiny dogfish""",7,801-1000m,1282,1,4,4,,,0,0,0
2014,United States,W-Grounds,41,West Yakutat,310,"""Spiny dogfish""",2b,151-200m,218,0,1,1,70.5833333333333,2.89083296102334,1.97083794758213,429.642672572905,1285.12916224632
2014,United States,W-Grounds,41,West Yakutat,310,"""Spiny dogfish""",3,201-300m,1008,0,1,1,70.8125,2.92040695092796,0.447175020002437,450.752420162457,1394.77237528243
2014,United States,W-Grounds,41,West Yakutat,310,"""Spiny dogfish""",4,301-400m,302,0,2,2,,,0,0,0
2014,United States,Yakutat Valley,42,West Yakutat,310,"""Spiny dogfish""",3,201-300m,1268,0,1,1,58,1.56049399507917,0.01461038961039,18.525974025974,28.9096712205251
2014,United States,Yakutat Valley,42,West Yakutat,310,"""Spiny dogfish""",4,301-400m,768,0,1,1,75,3.497764527597,0.016233766233766,12.4675324675325,43.608492811599
2013,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,1462,1,4,3,,,0.009915329768271,14.4962121212121,0
2013,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,1766,1,4,4,,,0,0,0
2013,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",6,601-800m,1955,1,3,3,,,0,0,0
2013,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",7,801-1000m,2012,1,3,3,,,0,0,0
2013,United States,East Yakutat slope,39,East Yakutat/Southeast,310,"""Spiny dogfish""",5,401-600m,395,1,3,3,,,0,0,0
2013,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",1,0-100m,,1,1,1,,,0,,
2013,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,1658,1,2,2,,,0,0,0
2013,United States,Kodiak slope,35,Central Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,1626,1,8,8,,,0,0,0
2013,United States,Shelikof Trough,31,Central Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,4066,0,1,1,,,0,0,0
2013,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2a,101-150m,,1,8,8,66.8163926210477,2.43349747150014,0.095892342827378,,
2013,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,2269,1,8,8,,,0,0,0
2012,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",1,0-100m,,1,1,1,,,0,,
2012,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",7,801-1000m,1248,1,1,1,,,0,0,0
2011,United States,Amatuli Gully,36,Central Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,0,0,1,1,,,0,0,0
2011,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",2a,101-150m,,1,1,1,,,0,,
2011,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,817,1,6,6,,,0,0,0
2011,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,1766,1,5,5,,,0,0,0
2011,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",7,801-1000m,2012,1,3,3,,,0,0,0
2011,United States,East Yakutat slope,39,East Yakutat/Southeast,310,"""Spiny dogfish""",4,301-400m,502,1,3,3,62,1.92401346483161,0.022058823529412,11.0735294117647,21.3056196914442
2011,United States,Shelikof Trough,31,Central Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,4066,0,1,1,,,0,0,0
2011,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,2487,1,6,6,64.1502176333637,2.14141254729991,0.039272510435301,97.6707334525939,222.136778354927
2011,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,1264,1,6,6,,,0,0,0
2010,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,2,2,,,0,,
2010,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2b,151-200m,1596,1,5,5,,,0,0,0
2010,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",3,201-300m,2141,1,5,5,,,0,0,0
2010,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",6,601-800m,3250,1,3,3,,,0,0,0
2010,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",7,801-1000m,1570,1,2,2,,,0,0,0
2009,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,1462,1,5,5,,,0.258573334196258,378.034214594929,0
2008,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",7,801-1000m,2786,1,1,1,,,0,0,0
2007,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",7,801-1000m,1248,1,1,1,,,0,0,0
2006,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",4,301-400m,2085,1,6,6,,,0,0,0
2006,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",5,401-600m,3800,1,6,6,,,0,0,0
2005,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",2a,101-150m,,1,1,1,,,0,,
2005,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,2737,1,7,5,,,0.020210409745294,55.3158914728682,0
2005,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,2269,1,6,6,,,0,0,0
2005,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",7,801-1000m,1248,1,2,2,,,0,0,0
2004,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",6,601-800m,3250,1,5,5,,,0,0,0
2003,United States,Chirikof slope,30,Central Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,1533,1,7,5,,,0.068610211281524,105.179453894576,0
2003,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,2487,1,6,3,,,0.083969256660527,208.831541314731,0
2002,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,3,3,,,0,,
2002,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",3,201-300m,2141,1,6,6,,,0,0,0
2002,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",2b,151-200m,2202,1,7,7,,,0,0,0
2001,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,2487,1,9,7,,,0.015993265993266,39.7752525252525,0
2001,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,2737,1,10,8,,,0.005333333333333,14.5973333333333,0
2001,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",8,1001-1200m,,1,1,1,,,0,,
2000,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,1,1,,,0,,
2000,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2b,151-200m,1596,1,6,5,,,0.041666666666667,66.5,0
2000,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",7,801-1000m,2786,1,1,1,,,0,0,0
2000,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",1,0-100m,,1,1,1,,,0,,
2000,United States,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",4,301-400m,2096,1,8,8,,,0,0,0
1999,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2a,101-150m,,1,7,7,,,0.028947368421053,,
1999,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",4,301-400m,1264,1,10,9,,,0.003225806451613,4.07741935483871,0
1999,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,2269,1,10,10,,,0,0,0
1998,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",4,301-400m,2085,1,6,6,,,0,0,0
1997,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,2737,1,10,7,,,0.01639947601522,44.8853658536585,0
1997,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",5,401-600m,2269,1,10,10,,,0,0,0
1997,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",7,801-1000m,1248,1,4,4,,,0,0,0
1997,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",8,1001-1200m,,1,2,2,,,0,,
1996,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",2b,151-200m,1596,1,6,5,,,0.003333333333333,5.32,0
1996,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",4,301-400m,2085,1,6,6,,,0,0,0
1996,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",5,401-600m,3800,1,5,5,,,0,0,0
1996,United States,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",7,801-1000m,2786,1,2,2,,,0,0,0
1995,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2b,151-200m,2487,1,9,8,,,0.005555555555556,13.8166666666667,0
1995,United States,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",3,201-300m,2737,1,10,8,,,0.009800664451827,26.8244186046512,0
1994,Japan,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",8,1001-1200m,,1,1,1,,,0,,
1994,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,4,4,,,0,,
1994,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",6,601-800m,2640,1,3,3,,,0,0,0
1994,Japan,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",2b,151-200m,2202,1,8,6,,,0.007845345345345,17.2754504504505,0
1994,Japan,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",3,201-300m,2530,1,9,7,,,0.018518518518519,46.8518518518518,0
1994,Japan,SW Aleutians slope,17,Aleutians,310,"""Spiny dogfish""",2a,101-150m,,1,6,6,,,0,,
1993,Japan,NE Aleutians slope,15,Aleutians,310,"""Spiny dogfish""",7,801-1000m,2786,1,5,5,,,0,0,0
1993,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",3,201-300m,1130,1,4,4,,,0,0,0
1993,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",5,401-600m,3100,1,4,4,,,0,0,0
1992,Japan,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",4,301-400m,2096,1,8,8,,,0,0,0
1992,Japan,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",6,601-800m,1978,1,7,7,,,0,0,0
1992,Japan,SW Aleutians slope,17,Aleutians,310,"""Spiny dogfish""",5,401-600m,3480,1,6,6,,,0,0,0
1991,Japan,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",2b,151-200m,2202,1,8,7,,,0.006696428571429,14.7455357142857,0
1991,Japan,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",8,1001-1200m,,1,1,1,,,0,,
1991,Japan,SW Aleutians slope,17,Aleutians,310,"""Spiny dogfish""",4,301-400m,1570,1,6,6,,,0,0,0
1991,Japan,SW Aleutians slope,17,Aleutians,310,"""Spiny dogfish""",7,801-1000m,2130,1,2,2,,,0,0,0
1991,Japan,Shumagin Slope,25,Western Gulf of Alaska,310,"""Spiny dogfish""",2a,101-150m,,1,3,3,,,0.09375,,
1990,Japan,NW Aleutians slope,16,Aleutians,310,"""Spiny dogfish""",7,801-1000m,2210,1,1,1,,,0,0,0
1990,Japan,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",3,201-300m,2530,1,9,9,,,0,0,0
1990,Japan,SE Aleutians slope,18,Aleutians,310,"""Spiny dogfish""",4,301-400m,2096,1,8,8,,,0,0,0
1990,Japan,SW Aleutians slope,17,Aleutians,310,"""Spiny dogfish""",3,201-300m,1440,1,6,6,,,0,0,0
1990,Japan,SW Aleutians slope,17,Aleutians,310,"""Spiny dogfish""",4,301-400m,1570,1,6,6,,,0,0,0
1990,Japan,SW Aleutians slope,17,Aleutians,310,"""Spiny dogfish""",5,401-600m,3480,1,6,6,,,0,0,0
